objectid,title,date,date_is_approximate,description,location,latitude,longitude,subject,source,identifier,donor,format_original,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
cities191,"McGregor House (1890- ). Moscow, Idaho.",1892,,National guard group standing in front. Dr. J.H. McCallie and Will Mix identified. House later became Gritman Hospital,Moscow,46.734551,-117.004051,hotels (public accommodations); soldiers;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-17a,Elbert Moody,6.25x8.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities191.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities191.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities191_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities191_th.jpg
cities201,"Elk City, Idaho.",1904,,,Elk City,45.827879,-115.43925,panoramas,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-116-1,Nez Perce County Historical Society,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities201.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities201.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities201_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities201_th.jpg
cities206,Group picture of Moscow Fire Department.,1894,,,Moscow,46.729377,-117.001557,firefighters;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-24b,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities206.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities206.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities206_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities206_th.jpg
cities207,Moscow Fire Department Hose Co. No. 4.,1915,yes,On occasion of winning race at a fire drill. Individuals identified on back of mount.,Moscow,46.729377,-117.001557,fire equipment; firefighters,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-24a,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities207.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities207.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities207_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities207_th.jpg
cities209,"New fire truck. Mrs. Lucy Mix Day at wheel. Moscow, Idaho.",1920,yes,,Moscow,46.729377,-117.001557,firefighters; fire engines;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-24d,Lucy Mix Day Estate,4.5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities209.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities209.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities209_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities209_th.jpg
cities224,"L-R: Billie Allen, Little Gus Gustafson, Henry Holzman, Martin Hickman, Fred Franklin, Charlie Wong Gee standing in front of Old Blue Front Saloon. Elk City, Idaho.",1908,,Saloon burned with the town in 1924,Elk City,45.826263,-115.436611,exteriors; saloons (bars),"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-116-4a,Nez Perce County Historical Society,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities224.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities224.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities224_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities224_th.jpg
cities233,"Andrews Store. Interior view showing Mildred Dodge and Mr. & Mrs. Andrews. Moscow, Idaho.",1909,,,Moscow,46.733014,-117.00127,stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-40a,Virgil Shepperd and Hannah Oldham,4x6 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities233.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities233.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities233_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities233_th.jpg
cities234,"Andrews Store. Interior view showing Mildred Dodge and Mr. & Mrs. Andrews. Moscow, Idaho.",1909,,,Moscow,46.733014,-117.00127,stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-40b,Virgil Shepperd and Hannah Oldham,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities234.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities234.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities234_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities234_th.jpg
cities246,"Destruction caused by fire. Grangeville, Idaho.",1910,,"Fire in business section with $40,000 damage",Grangeville,45.926645,-116.12404,fires,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-117-01a,Verna McGrane,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities246.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities246.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities246_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities246_th.jpg
cities257,"Destruction caused by fire. Grangeville, Idaho.",1910,,"Fire in business section with $40,000 damage",Grangeville,45.926645,-116.12404,fires; business enterprises,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-117-01b,Verna McGrane,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities257.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities257.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities257_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities257_th.jpg
cities268,"Destruction caused by fire and Alexander-Friedenbach Co. Ltd. Department Store. Grangeville, Idaho.",1910,,"Fire in business section with $40,000 damage",Grangeville,45.926645,-116.12404,fires; department stores,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-117-01c,Verna McGrane,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities268.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities268.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities268_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities268_th.jpg
cities277,"Williamson's General Merchandise. Moscow, Idaho.",1911,,,Moscow,46.732189,-117.001192,storefronts;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-51,Mike Fritz,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities277.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities277.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities277_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities277_th.jpg
cities279,"Destruction caused by fire. Grangeville, Idaho.",1910,,"Fire in business section with $40,000 damage",Grangeville,45.926645,-116.12404,fires,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-117-01d,Verna McGrane,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities279.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities279.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities279_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities279_th.jpg
cities280,"Williamson's General Merchandise. Moscow, Idaho",1920,yes,,Moscow,46.732189,-117.001192,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-52,Mike Fritz,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities280.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities280.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities280_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities280_th.jpg
cities281,"4th of July picnic. Moscow, Idaho.",1894,,"L-R: Lee Rauch, Samuella Huffaken, George Martin, John Mix, Margaret McCallie, Will Duncan, John Cochran, Nellie Mills, Allie Lygate?",Moscow,46.732844,-116.990265,picnic areas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-53a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities281.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities281.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities281_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities281_th.jpg
cities282,"4th of July parade. Moscow, Idaho.",1910,,,Moscow,46.732263,-117.001326,parades;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-54,Verna McGrane,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities282.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities282.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities282_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities282_th.jpg
cities284,"Lost Wheelbarrow Mine. Moscow, Idaho.",1920,yes,,Moscow,46.9968416,-116.7848845,mines;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-75a,,7x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities284.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities284.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities284_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities284_th.jpg
cities299,"Boat excursions up the St. Joe River. Crowd of people on bank. Boat 'Idaho' at left, boat 'The Spokane' in center. Ferrel, Idaho.",1908-07-04,,,Ferrel,47.320716,-116.348842,boats;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-003-2b,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities299.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities299.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities299_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities299_th.jpg
cities303,"Aerial view of Peck, Idaho.",1914,,,Peck,46.475176,-116.424311,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-004-1a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities303.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities303.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities303_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities303_th.jpg
cities305,"Panoramic view of Peck, Idaho.",1896,,,Peck,46.475176,-116.424311,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-004-1b1,Jim Lyle,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities305.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities305.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities305_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities305_th.jpg
cities307,"Panoramic view of Peck, Idaho.",1896,,,Peck,46.475176,-116.424311,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-004-1b2,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities307.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities307.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities307_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities307_th.jpg
cities308,"Panoramic view of Peck, Idaho taken by D.P. Shrewsberry (1880-1942)",1917,,,Peck,46.475176,-116.424311,,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-004-1c,Jim Lyle,6x18 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities308.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities308.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities308_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities308_th.jpg
cities313,"Lewiston Bakery and Cracker Factory. Lewiston, Idaho.",1895,yes,Delivery wagon on right is the Northern Express Co.,Lewiston,46.415063,-117.001852,horse-drawn vehicles; bakeries;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-10,Mike Fritz,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities313.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities313.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities313_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities313_th.jpg
cities322,Highway 95 on the Lewiston Hill.,1917,,,Lewiston,46.470718,-117.033234,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-2b,Jim Lyle,6.5x8.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities322.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities322.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities322_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities322_th.jpg
cities323,"Office Saloon. Grangeville, Idaho.",1904,,Owned by Matt Geary. First man is Kid Smith; farthest (behind bar)is Matt Geary,Grangeville,45.926922,-116.121444,interiors; saloons (bars),"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-117-03a,Verna McGrane,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities323.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities323.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities323_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities323_th.jpg
cities324,Highway 95 on the Lewiston Hill.,1917,,,Lewiston,46.470718,-117.033234,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-2a,Jim Lyle,6.5x8.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities324.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities324.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities324_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities324_th.jpg
cities325,Highway 95 on the Lewiston Hill.,1917,,,Lewiston,46.470718,-117.033234,panoramas;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-2c,Jim Lyle,6.5x8.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities325.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities325.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities325_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities325_th.jpg
cities328,"East portion of Burrell Avenue. Grading road with team of 4 horses. Lewiston Orchards, Idaho.",1911,,From files of C.J. Brosnan,Lewiston,46.386097,-116.983935,horses; roads;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-2f,,5.75x8 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities328.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities328.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities328_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities328_th.jpg
cities333,"Copy print from book of Luna House. Hotel in Lewiston, Idaho.",1911,,,Lewiston,46.417805,-117.029876,homesteads;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-3,,2.25x4 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities333.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities333.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities333_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities333_th.jpg
cities335,"Office Saloon. Grangeville, Idaho.",1904,,"Owned by Matt Geary. Kid Smith, left, and at far end, Matt Geary",Grangeville,45.926922,-116.121444,interiors; saloons (bars),"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-117-03b,Verna McGrane,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities335.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities335.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities335_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities335_th.jpg
cities336,"Old courthouse. Lewiston, Idaho.",1880,yes,Formerly the Luna House. Now destroyed,Lewiston,46.417805,-117.029876,homesteads;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-007-3a,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities336.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities336.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities336_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities336_th.jpg
